#Level 1 Data
# PI: P. Goloub (mailto: philippe.goloub@univ-lille1.fr)
#Time    Z(km)     Ln(Pr2) 
10.0525 0 -999
10.0525 0.00440839 -1.60256
10.0525 0.00881678 0.0337897
10.0525 0.0132252 0.461057
10.0525 0.0176336 2.04931
10.0525 0.0220419 -999
10.0525 0.0264503 -999
10.0525 0.0308587 6.92573
10.0525 0.0352671 9.16973
10.0525 0.0396755 7.30583
10.0525 0.0440839 7.12062
10.0525 0.0484923 7.84
10.0525 0.0529007 8.01577
10.0525 0.0573091 8.33906
10.0525 0.0617175 8.52376
10.0525 0.0661258 8.7748
10.0525 0.0705342 8.96666
10.0525 0.0749426 9.15854
10.0525 0.079351 9.5046
10.0525 0.0837594 9.89995
10.0525 0.0881678 10.3648
10.0525 0.0925762 10.8724
10.0525 0.0969846 11.3696
10.0525 0.101393 11.8149
10.0525 0.105801 12.2053
10.0525 0.11021 12.5492
10.0525 0.114618 12.8564
10.0525 0.119027 13.1252
10.0525 0.123435 13.3674
10.0525 0.127843 13.5783
10.0525 0.132252 13.7662
10.0525 0.13666 13.9323
10.0525 0.141068 14.0821
10.0525 0.145477 14.2184
10.0525 0.149885 14.3399
10.0525 0.154294 14.4507
10.0525 0.158702 14.5528
10.0525 0.16311 14.6488
10.0525 0.167519 14.7358
10.0525 0.171927 14.8196
10.0525 0.176336 14.8959
10.0525 0.180744 14.9672
10.0525 0.185152 15.0363
10.0525 0.189561 15.0995
10.0525 0.193969 15.1595
10.0525 0.198378 15.2123
10.0525 0.202786 15.2648
10.0525 0.207194 15.3135
10.0525 0.211603 15.3584
10.0525 0.216011 15.4005
10.0525 0.220419 15.4432
10.0525 0.224828 15.4832
10.0525 0.229236 15.5218
10.0525 0.233645 15.5594
10.0525 0.238053 15.5939
10.0525 0.242461 15.6327
10.0525 0.24687 15.6638
10.0525 0.251278 15.6895
10.0525 0.255687 15.7213
10.0525 0.260095 15.7482
10.0525 0.264503 15.7741
10.0525 0.268912 15.7955
10.0525 0.27332 15.8151
10.0525 0.277729 15.836
10.0525 0.282137 15.849
10.0525 0.286545 15.8654
10.0525 0.290954 15.8777
10.0525 0.295362 15.8892
10.0525 0.29977 15.9
10.0525 0.304179 15.9095
10.0525 0.308587 15.9149
10.0525 0.312996 15.9202
10.0525 0.317404 15.9279
10.0525 0.321812 15.9311
10.0525 0.326221 15.9368
10.0525 0.330629 15.9413
10.0525 0.335038 15.9399
10.0525 0.339446 15.9445
10.0525 0.343854 15.9438
10.0525 0.348263 15.9468
10.0525 0.352671 15.948
10.0525 0.35708 15.9479
10.0525 0.361488 15.947
10.0525 0.365896 15.9476
10.0525 0.370305 15.9465
10.0525 0.374713 15.9472
10.0525 0.379121 15.9447
10.0525 0.38353 15.9434
10.0525 0.387938 15.9412
